ind;press;temp
661;30.44035593;24.047
662;30.39635593;24.048
663;30.40535593;24.046
664;30.45835593;24.047
665;30.53835593;24.044
666;30.63635593;24.041
667;30.71635593;24.035
668;30.70735593;24.035
669;30.68035593;24.034
670;30.64535593;24.033
671;30.64535593;24.034
672;30.71635593;24.034
673;30.78735593;24.028
674;30.87535593;24.026
675;30.97335593;24.025
676;31.01835593;24.021
677;31.04435593;24.017
678;31.08035593;24.015
679;31.16035593;24.011
680;31.18635593;24.009
681;31.14235593;24.01
682;31.07135593;24.01
683;31.06235593;24.015
684;31.13335593;24.014
685;31.21335593;24.011
686;31.34635593;24.0
687;31.49735593;23.993
688;31.61335593;23.987
689;31.63935593;23.98
690;31.59535593;23.983
691;31.55135593;23.985
692;31.47135593;23.989
693;31.42635593;23.989
694;31.47135593;23.991
695;31.55135593;23.989
696;31.61335593;23.984
697;31.69335593;23.979
698;31.78135593;23.971
699;31.90635593;23.96
700;31.97735593;23.955
701;32.04835593;23.953
702;32.06635593;23.945
703;31.98635593;23.948
704;31.88835593;23.951
705;31.88835593;23.953
706;31.89735593;23.954
707;31.95035593;23.953
708;32.03035593;23.946
709;32.10135593;23.939
710;32.16335593;23.935
711;32.19035593;23.934
712;32.19935593;23.934
713;32.18135593;23.936
714;32.14635593;23.936
715;32.19035593;23.935
716;32.22635593;23.933
717;32.27935593;23.931
718;32.28835593;23.928
719;32.27935593;23.93
720;32.31435593;23.93
721;32.39435593;23.928
722;32.51035593;23.923
723;32.61635593;23.917
724;32.67935593;23.91
725;32.72335593;23.908
726;32.68735593;23.906
727;32.70535593;23.908
728;32.72335593;23.907
729;32.76735593;23.905
730;32.83035593;23.9
731;32.91835593;23.897
732;32.91835593;23.894
733;32.83835593;23.894
734;32.83035593;23.893
735;32.86535593;23.895
736;32.92735593;23.893
737;33.04335593;23.889
738;33.16735593;23.885
739;33.24735593;23.882
740;33.29135593;23.879
741;33.25635593;23.881
742;33.27435593;23.882
743;33.30935593;23.881
744;33.37135593;23.878
745;33.42535593;23.874
746;33.43435593;23.87
747;33.44335593;23.871
748;33.42535593;23.871
749;33.45135593;23.87
750;33.51435593;23.864
751;33.63835593;23.856
752;33.74535593;23.847
753;33.81635593;23.838
754;33.81635593;23.835
755;33.79835593;23.839
756;33.75335593;23.839
757;33.75335593;23.842
758;33.75335593;23.842
759;33.80735593;23.841
760;33.86935593;23.839
761;33.90435593;23.832
762;33.94935593;23.829
763;33.97635593;23.825
764;34.02935593;23.823
765;34.07335593;23.821
766;34.18035593;23.808
767;34.21535593;23.8
768;34.27835593;23.797
769;34.26935593;23.797
770;34.27835593;23.796
771;34.26035593;23.796
772;34.33135593;23.796
773;34.45535593;23.794
774;34.51735593;23.793
775;34.54435593;23.79
776;34.56235593;23.788
777;34.62435593;23.787
778;34.67735593;23.784
779;34.73135593;23.779
780;34.81135593;23.774
781;34.84635593;23.765
782;34.84635593;23.764
783;34.78435593;23.768
784;34.78435593;23.768
